date,hi,lo,open,close,volume
2016/12/09,24.46,23.9,24.17,24.1,220058
2016/12/12,23,21,21.06,22.8475,1055788
2016/12/13,22.82,21.7799,21.86,22.25,952857
2016/12/14,24.58,22.2,23.05,24.46,1998354
2016/12/15,25.415,23.67,25.34,24.2299,961493
2016/12/16,24.02,22.86,23.71,23.07,1069862
2016/12/19,24.55,22.7281,23.22,24.55,3563863
2016/12/20,22.87,22.0674,22.3,22.68,2155644
2016/12/21,23.9,22.3,22.48,23.64,1223672
2016/12/22,23.5124,22.7665,23.36,23.5124,1073978
2016/12/23,23.6299,22.85,23.56,22.9399,752470
2016/12/27,22.42,21.6,22.42,21.93,1620008
2016/12/28,21.85,21.3,21.68,21.82,1555884
2016/12/29,22.18,21.48,21.77,21.98,2180062
2016/12/30,22.35,21.9601,22.31,21.9601,1037601
2017/01/03,23.95,20.37,20.45,23.4399,2897696
2017/01/04,23.9252,22.33,23.6,22.66,1124680
2017/01/05,23.0366,21.39,21.94,21.94,2639300
2017/01/06,22.35,21.3,21.58,21.99,1953864
2017/01/09,24.16,22.85,22.86,24.02,2275241
2017/01/10,25.59,23.67,23.76,25.54,2584419
2017/01/11,25.61,22.67,24.66,23.46,3217902
2017/01/12,22.8038,21.9,22,22.42,2029375
2017/01/13,23.35,22.5,22.96,23.08,1694752
2017/01/17,23.21,21.87,21.97,23.1,1801041
2017/01/18,25.06,23.3974,24.5,24.54,2484275
2017/01/19,24.98,23.76,24.04,24.5,1614823
2017/01/20,23.2,22.4,22.66,23.14,2893831
2017/01/23,24.1943,23.18,24.13,23.5001,1756926
2017/01/24,23.25,22.58,23.25,23.24,2399841
2017/01/25,23.7881,22.71,23.64,23.51,2970892
2017/01/26,22.88,21.9,22.76,22.23,4288133
2017/01/27,23.7,22.72,23,22.9889,2945181
2017/01/30,23.92,23.2308,23.26,23.6,2497901
2017/01/31,23.6858,22.46,22.97,23.39,3544555
2017/02/01,23.4,22.02,22.77,22.42,6997522
2017/02/02,22.66,21.77,21.87,22.1899,5214472
2017/02/03,22.5,21.62,22.34,22.08,3886041
2017/02/06,23.1768,22.05,22.18,22.89,2450197
2017/02/07,24.5899,23.88,24,24.02,3214039
2017/02/08,25.06,23.481,24.56,23.83,4168334
2017/02/09,23.4,22.8,22.86,23.0579,2154436
2017/02/10,22.25,21.7,21.98,22.05,4436254
2017/02/13,23.245,22.7,22.86,23.1,2634727
2017/02/14,22.94,22.1701,22.2,22.76,2769886
2017/02/15,23.1501,22.35,23.03,22.92,2444689
2017/02/16,23.45,22.36,22.42,22.59,3827022
2017/02/17,23.21,22.556,23.1,22.6499,1867729
2017/02/21,22.02,21.31,21.33,21.88,7027420
2017/02/22,23.03,22.64,22.77,22.77,2826094
2017/02/23,22.06,21.15,21.43,21.85,6754994
2017/02/24,22.29,21.9497,22.27,22.1815,3154245
2017/02/27,22.25,21.595,21.66,22.14,2432641
2017/02/28,23.2,22.1893,22.81,22.21,3866531
2017/03/01,22.55,21.74,21.9,22.52,3839258
2017/03/02,23.99,23.1697,23.66,23.86,2900451
2017/03/03,23.7899,22.91,23.74,23.1,1850668
2017/03/06,23.37,22.68,22.89,23.13,1991816
2017/03/07,23.27,22.52,22.54,23.27,2193592
2017/03/08,27.21,23.58,24.15,26.95,4527265
2017/03/09,29.62,27.61,27.72,27.9,3918172
2017/03/10,30.2,28.07,28.07,29.96,3645340
2017/03/13,30.54,29.54,29.96,30.07,1849595
2017/03/14,32.32,30.64,31.58,30.74,5783405
2017/03/15,30.3313,28.83,29.76,29.13,3002472
2017/03/16,29.81,28.9647,29.01,29.22,1650177
2017/03/17,29.58,28.7,28.73,29.38,1069862
2017/03/20,30.41,29.23,30.12,29.9315,1140299
2017/03/21,31.69,29.44,29.73,31.35,1946627
2017/03/22,33.56,31.11,32.28,31.36,2709903
2017/03/23,32.52,31.8,32.06,32.29,2017362
2017/03/24,32.61,31.52,31.98,31.59,1290404
2017/03/27,33.5,32,33.13,32.1,1066049
2017/03/28,31.55,30.2,31.33,31,1758894
2017/03/29,30.72,28.73,30.7,28.9414,2987248
2017/03/30,28.36,27.1,28.08,27.28,3010214
2017/03/31,27.72,26.58,27.67,26.76,1984670
2017/04/03,27.65,26.84,26.95,27.42,2152180
2017/04/04,27.09,25.96,26.83,26.15,2515323
2017/04/05,26.62,24.9,25.18,26.4201,4464843
2017/04/06,25.5,25,25.36,25.17,2636111
2017/04/07,24.9816,24.3,24.86,24.42,2474651
2017/04/10,23.85,23.17,23.62,23.25,2603917
2017/04/11,23.73,22.77,23.27,23.06,3018235
2017/04/12,23.5502,22.45,22.63,23.39,2948806
2017/04/13,23.408,22.8,22.91,23.22,2013209
2017/04/17,23.79,23.12,23.2,23.71,1519253
2017/04/18,24.4,23.42,24.01,23.76,1756209
2017/04/19,27.1399,23.73,23.84,26.47,5337721
2017/04/20,27.26,25.99,26.79,27.05,3085183
2017/04/21,29.32,27,27,28.77,3827875
