date,hi,lo,open,close,volume
2016/12/09 09:30,26.02,26.01,26.02,26.02,14415
2016/12/09 09:31,26.01,25.9,25.915,25.9,3870
2016/12/09 09:32,25.92,25.85,25.9,25.85,2200
2016/12/09 09:33,25.896,25.896,25.896,25.896,300
2016/12/09 09:35,26.02,25.994,26.01,26.01,8200
2016/12/09 09:36,26.02,25.9398,26.02,25.95,7122
2016/12/09 09:37,25.96,25.93,25.96,25.93,1150
2016/12/09 09:38,25.94,25.8616,25.9,25.94,3950
2016/12/09 09:39,25.97,25.8641,25.97,25.8641,1350
2016/12/09 09:41,25.94,25.94,25.94,25.94,975
2016/12/09 09:42,25.98,25.98,25.98,25.98,1300
2016/12/09 09:44,26.06,26.02,26.04,26.06,950
2016/12/09 09:45,26,26,26,26,656
2016/12/09 09:46,26.02,26,26.02,26,12753
2016/12/09 09:48,26.04,26.014,26.04,26.014,240
2016/12/09 09:49,25.95,25.94,25.95,25.94,200
2016/12/09 09:50,25.94,25.94,25.94,25.94,883
2016/12/09 09:51,25.94,25.94,25.94,25.94,2200
2016/12/09 09:52,25.96,25.91,25.91,25.96,700
2016/12/09 09:54,25.9806,25.9806,25.9806,25.9806,500
2016/12/09 09:55,26.01,25.98,25.98,26.01,8053
2016/12/09 09:57,25.97,25.9255,25.95,25.944,3500
2016/12/09 09:58,25.97,25.943,25.97,25.96,830
2016/12/09 09:59,25.9,25.9,25.9,25.9,1100
2016/12/09 10:00,25.92,25.7923,25.856,25.7923,1170
2016/12/09 10:01,25.8,25.8,25.8,25.8,200
2016/12/09 10:04,25.8,25.8,25.8,25.8,100
2016/12/09 10:05,25.73,25.704,25.73,25.72,400
2016/12/09 10:07,25.85,25.835,25.835,25.835,652
2016/12/09 10:10,25.88,25.83,25.88,25.83,2390
2016/12/09 10:12,25.86,25.8595,25.86,25.8595,700
2016/12/09 10:15,25.846,25.829,25.83,25.846,4700
2016/12/09 10:16,25.89,25.83,25.89,25.83,1600
2016/12/09 10:23,25.955,25.955,25.955,25.955,100
2016/12/09 10:24,25.96,25.96,25.96,25.96,600
2016/12/09 10:25,25.95,25.9252,25.9252,25.95,526
2016/12/09 10:28,25.9,25.85,25.9,25.85,3300
2016/12/09 10:29,25.8,25.8,25.8,25.8,1135
2016/12/09 10:32,25.75,25.75,25.75,25.75,300
2016/12/09 10:37,26.01,26.01,26.01,26.01,500
2016/12/09 10:38,26.09,26.05,26.05,26.09,1600
2016/12/09 10:39,26.12,26.12,26.12,26.12,200
2016/12/09 10:40,26.1,25.98,26.1,26.05,6500
2016/12/09 10:41,26.02,25.98,26.02,25.98,5250
2016/12/09 10:43,26.02,26.01,26.01,26.02,1300
2016/12/09 10:44,26.0057,26,26,26,811
2016/12/09 10:46,26,26,26,26,1300
2016/12/09 10:49,26,25.89,26,25.89,662
2016/12/09 10:50,25.88,25.84,25.84,25.88,423
2016/12/09 10:51,25.84,25.84,25.84,25.84,700
2016/12/09 10:52,25.8,25.8,25.8,25.8,200
2016/12/09 10:53,25.77,25.75,25.76,25.75,4640
2016/12/09 10:55,25.76,25.7342,25.76,25.7342,700
2016/12/09 10:56,25.78,25.7,25.7,25.78,1500
2016/12/09 10:57,25.84,25.84,25.84,25.84,1900
2016/12/09 10:58,25.84,25.81,25.84,25.81,3190
2016/12/09 10:59,25.84,25.8166,25.84,25.8166,3000
2016/12/09 11:00,25.85,25.83,25.85,25.83,1200
2016/12/09 11:01,25.82,25.81,25.82,25.81,2700
2016/12/09 11:03,25.75,25.75,25.75,25.75,1250
2016/12/09 11:04,25.7458,25.7458,25.7458,25.7458,400
2016/12/09 11:05,25.8,25.75,25.75,25.8,2000
2016/12/09 11:06,25.85,25.85,25.85,25.85,250
2016/12/09 11:07,25.86,25.86,25.86,25.86,1900
2016/12/09 11:09,25.8699,25.85,25.8699,25.85,725
2016/12/09 11:11,25.82,25.7642,25.8,25.82,900
2016/12/09 11:13,25.86,25.86,25.86,25.86,200
2016/12/09 11:14,25.81,25.81,25.81,25.81,300
2016/12/09 11:21,25.836,25.836,25.836,25.836,250
2016/12/09 11:22,25.86,25.86,25.86,25.86,200
2016/12/09 11:25,25.83,25.8182,25.83,25.8248,1190
2016/12/09 11:30,25.77,25.77,25.77,25.77,2000
2016/12/09 11:32,25.7,25.56,25.7,25.56,4160
2016/12/09 11:34,25.6998,25.6998,25.6998,25.6998,465
2016/12/09 11:36,25.7,25.7,25.7,25.7,200
2016/12/09 11:37,25.7,25.7,25.7,25.7,100
2016/12/09 11:40,25.75,25.75,25.75,25.75,600
2016/12/09 11:42,25.81,25.7848,25.81,25.7848,400
2016/12/09 11:43,25.79,25.79,25.79,25.79,324
2016/12/09 11:46,25.8,25.7613,25.7613,25.8,2000
2016/12/09 11:48,25.76,25.75,25.76,25.75,300
2016/12/09 11:50,25.72,25.72,25.72,25.72,194
2016/12/09 11:53,25.73,25.73,25.73,25.73,324
2016/12/09 12:01,25.9,25.9,25.9,25.9,1000
2016/12/09 12:03,25.872,25.8598,25.872,25.8598,359
2016/12/09 12:05,25.91,25.91,25.91,25.91,100
2016/12/09 12:06,25.94,25.94,25.94,25.94,1850
2016/12/09 12:10,25.92,25.92,25.92,25.92,100
2016/12/09 12:13,25.98,25.98,25.98,25.98,193
2016/12/09 12:15,25.95,25.95,25.95,25.95,2500
2016/12/09 12:17,25.9375,25.9241,25.9241,25.9375,220
2016/12/09 12:20,25.93,25.908,25.908,25.93,200
2016/12/09 12:29,25.95,25.93,25.93,25.95,700
2016/12/09 12:30,25.99,25.9459,25.99,25.946,5060
2016/12/09 12:33,25.98,25.9799,25.98,25.9799,6000
2016/12/09 12:36,25.96,25.952,25.96,25.952,940
2016/12/09 12:38,25.93,25.92,25.92,25.93,1500
2016/12/09 12:58,25.9,25.9,25.9,25.9,2000
2016/12/09 13:00,25.85,25.85,25.85,25.85,1000
2016/12/09 13:02,25.85,25.8133,25.85,25.8133,600
2016/12/09 13:06,25.8,25.8,25.8,25.8,500
2016/12/09 13:15,25.83,25.83,25.83,25.83,200
2016/12/09 13:18,25.81,25.81,25.81,25.81,100
2016/12/09 13:21,25.8,25.79,25.79,25.8,325
2016/12/09 13:25,25.77,25.77,25.77,25.77,100
2016/12/09 13:26,25.82,25.82,25.82,25.82,125
2016/12/09 13:29,25.76,25.76,25.76,25.76,2300
2016/12/09 13:30,25.76,25.75,25.76,25.75,3700
2016/12/09 13:34,25.7876,25.7876,25.7876,25.7876,200
2016/12/09 13:49,25.92,25.92,25.92,25.92,320
2016/12/09 13:57,25.85,25.85,25.85,25.85,100
2016/12/09 13:59,25.8,25.79,25.8,25.79,1400
2016/12/09 14:04,25.878,25.878,25.878,25.878,129
2016/12/09 14:07,25.9,25.9,25.9,25.9,200
2016/12/09 14:09,25.87,25.87,25.87,25.87,100
2016/12/09 14:10,25.85,25.8428,25.8428,25.85,500
2016/12/09 14:11,25.8,25.8,25.8,25.8,400
2016/12/09 14:12,25.79,25.75,25.79,25.75,600
2016/12/09 14:19,25.8276,25.8276,25.8276,25.8276,200
2016/12/09 14:20,25.8056,25.8,25.8,25.8056,1700
2016/12/09 14:23,25.91,25.91,25.91,25.91,1000
2016/12/09 14:24,25.88,25.88,25.88,25.88,2116
2016/12/09 14:25,25.82,25.82,25.82,25.82,1000
2016/12/09 14:26,25.99,25.91,25.99,25.91,200
