date,hi,lo,open,close,volume
2016/12/09,26.12,25.56,26.02,25.98,265852
2016/12/12,29.49,26.96,29.27,27.22,1957168
2016/12/13,28.5734,27.2,28.5,27.96,1281239
2016/12/14,27.97,25,26.98,25.1303,4260870
2016/12/15,25.91,24.1,24.2,25.38,3278128
2016/12/16,26.84,25.58,25.92,26.6,2413709
2016/12/19,27,26.02,26.4,26.24,1609447
2016/12/20,27.75,26.8056,27.49,27.06,2395466
2016/12/21,27.44,25.58,27.3,25.89,3055895
2016/12/22,26.8411,25.99,26.21,25.99,1827084
2016/12/23,26.73,25.85,25.98,26.62,2221177
2016/12/27,28.16,27.23,27.23,27.75,1732634
2016/12/28,28.58,27.833,28.12,27.89,1348818
2016/12/29,28.34,27.421,27.95,27.68,1518723
2016/12/30,27.7,27.2095,27.29,27.67,1378447
2017/01/03,29.679,25.2,29.58,25.76,5420008
2017/01/04,26.97,25.26,25.76,26.5944,3648274
2017/01/05,28.13,26.15,27.47,27.47,4832960
2017/01/06,28.28,26.92,27.91,27.37,2944491
2017/01/09,26.23,24.6201,26.23,24.75,4907857
2017/01/10,25.128,23.14,25.07,23.18,4783130
2017/01/11,25.78,23.09,24.01,25.07,5881200
2017/01/12,26.73,25.75,26.59,26.2,3706289
2017/01/13,26.13,25.08,25.55,25.34,3306594
2017/01/17,26.67,25.2474,26.6,25.37,2820461
2017/01/18,25.02,23.17,23.85,23.68,7290637
2017/01/19,24.42,23.3,24.15,23.75,3242232
2017/01/20,25.74,24.98,25.5,25.04,5684892
2017/01/23,24.9694,23.86,23.93,24.6,2611394
2017/01/24,25.582,24.8802,24.89,24.91,3052805
2017/01/25,25.49,24.28,24.44,24.57,3721578
2017/01/26,26.26,25.25,25.38,25.9201,4229259
2017/01/27,25.34,24.2,25.06,25.02,4077043
2017/01/30,24.7583,23.99,24.75,24.33,2941098
2017/01/31,25.55,24.26,25,24.55,3831241
2017/02/01,26.0079,24.58,25.21,25.53,4553102
2017/02/02,26.3,25.23,26.16,25.8,3032195
2017/02/03,26.42,25.4485,25.6,25.91,2756191
2017/02/06,25.95,24.62,25.8,24.94,4094866
2017/02/07,23.88,23.12,23.73,23.7,7488123
2017/02/08,24.24,22.7,23.22,23.89,4637389
2017/02/09,24.92,24.31,24.87,24.65,3793025
2017/02/10,26.11,25.53,25.8,25.73,5667397
2017/02/13,24.93,24.28,24.75,24.48,3451140
2017/02/14,25.46,24.6401,25.45,24.8,2729796
2017/02/15,25.3,24.41,24.52,24.66,2707194
2017/02/16,25.26,24.1,25.2,25,4046049
2017/02/17,25.029,24.32,24.45,24.94,2745739
2017/02/21,26.44,25.64,26.43,25.78,4094017
2017/02/22,24.87,24.42,24.77,24.72,3443971
2017/02/23,26.51,25.52,26.22,25.71,4354662
2017/02/24,25.59,25.17,25.19,25.28,1793859
2017/02/27,25.9668,25.215,25.91,25.34,2515791
2017/02/28,25.3,24.15,24.58,25.25,8753595
2017/03/01,25.81,24.87,25.6,24.93,5197385
2017/03/02,24.22,23.3,23.65,23.44,10949306
2017/03/03,24.35,23.51,23.57,24.13,4509339
2017/03/06,24.5838,23.86,24.39,24.14,4583274
2017/03/07,24.75,23.97,24.74,24,4245799
2017/03/08,23.67,19.908,23.07,20.19,14593386
2017/03/09,19.6699,18.18,19.6,19.43,9682590
2017/03/10,19.31,17.87,19.31,18.04,7441663
2017/03/13,18.2913,17.7,18.04,17.97,4379561
2017/03/14,17.61,16.62,17.06,17.55,7842174
2017/03/15,18.6,17.78,18.09,18.45,6741994
2017/03/16,18.56,18.01,18.51,18.39,4758920
2017/03/17,18.7,18.16,18.65,18.27,2552929
2017/03/20,18.3678,17.6302,17.81,17.9338,2923203
2017/03/21,18.24,16.8999,18.06,17.12,5925178
2017/03/22,17.23,15.9,16.59,17.07,6142537
2017/03/23,16.85,16.47,16.74,16.59,3653771
2017/03/24,17,16.43,16.75,16.93,3034208
2017/03/27,16.72,15.93,16.13,16.69,3537539
2017/03/28,17.65,16.96,17.06,17.23,4028310
2017/03/29,18.49,17.38,17.39,18.33,4828177
2017/03/30,19.52,18.71,18.9,19.39,5756605
2017/03/31,19.9,19.08,19.12,19.76,3383396
2017/04/03,19.73,19.13,19.63,19.27,2444002
2017/04/04,20.31,19.52,19.69,20.19,3233136
2017/04/05,21.17,19.82,20.94,19.99,6383029
2017/04/06,21.1,20.7114,20.82,20.94,2883934
2017/04/07,21.67,21.1,21.22,21.56,4217669
2017/04/10,22.69,22.1,22.3,22.62,3618214
2017/04/11,23.09,22.186,22.62,22.81,4593270
2017/04/12,23.45,22.314,23.25,22.48,5227028
2017/04/13,23.05,22.46,22.92,22.6,2917674
2017/04/17,22.72,22.05,22.62,22.12,1954311
2017/04/18,22.4235,21.49,21.85,22.07,3685902
2017/04/19,22.11,19.014,22.03,19.58,9080093
2017/04/20,19.9,19.02,19.38,19.16,4761275
2017/04/21,19.2,17.55,19.2,17.93,8665257
